study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,268,euc_line24_1_0_5.png,5,18,0
turk4,euc,268,euc_line24_1_0_5.png,5,19,0
turk4,euc,268,euc_line24_1_0_5.png,5,20,0
turk4,euc,269,euc_line24_1_180_13.png,13,1,0
turk4,euc,269,euc_line24_1_180_13.png,13,2,0
turk4,euc,269,euc_line24_1_180_13.png,13,3,0
turk4,euc,269,euc_line24_1_180_13.png,13,4,0
turk4,euc,269,euc_line24_1_180_13.png,13,5,0
turk4,euc,269,euc_line24_1_180_13.png,13,6,0
turk4,euc,269,euc_line24_1_180_13.png,13,7,0
turk4,euc,269,euc_line24_1_180_13.png,13,8,0
turk4,euc,269,euc_line24_1_180_13.png,13,9,0
turk4,euc,269,euc_line24_1_180_13.png,13,10,0
turk4,euc,269,euc_line24_1_180_13.png,13,11,0
turk4,euc,269,euc_line24_1_180_13.png,13,12,0
turk4,euc,269,euc_line24_1_180_13.png,13,13,6
turk4,euc,269,euc_line24_1_180_13.png,13,14,0
turk4,euc,269,euc_line24_1_180_13.png,13,15,0
turk4,euc,269,euc_line24_1_180_13.png,13,16,0
turk4,euc,269,euc_line24_1_180_13.png,13,17,0
turk4,euc,269,euc_line24_1_180_13.png,13,18,0
turk4,euc,269,euc_line24_1_180_13.png,13,19,0
turk4,euc,269,euc_line24_1_180_13.png,13,20,0
turk4,euc,270,euc_line24_1_270_9.png,9,1,0
turk4,euc,270,euc_line24_1_270_9.png,9,2,0
turk4,euc,270,euc_line24_1_270_9.png,9,3,0
turk4,euc,270,euc_line24_1_270_9.png,9,4,0
turk4,euc,270,euc_line24_1_270_9.png,9,5,1
turk4,euc,270,euc_line24_1_270_9.png,9,6,0
turk4,euc,270,euc_line24_1_270_9.png,9,7,0
turk4,euc,270,euc_line24_1_270_9.png,9,8,0
turk4,euc,270,euc_line24_1_270_9.png,9,9,4
turk4,euc,270,euc_line24_1_270_9.png,9,10,0
turk4,euc,270,euc_line24_1_270_9.png,9,11,0
turk4,euc,270,euc_line24_1_270_9.png,9,12,0
turk4,euc,270,euc_line24_1_270_9.png,9,13,0
turk4,euc,270,euc_line24_1_270_9.png,9,14,1
turk4,euc,270,euc_line24_1_270_9.png,9,15,0
turk4,euc,270,euc_line24_1_270_9.png,9,16,0
turk4,euc,270,euc_line24_1_270_9.png,9,17,0
turk4,euc,270,euc_line24_1_270_9.png,9,18,0
turk4,euc,270,euc_line24_1_270_9.png,9,19,0
turk4,euc,270,euc_line24_1_270_9.png,9,20,0
turk4,euc,271,euc_line24_1_90_3.png,3,1,0
turk4,euc,271,euc_line24_1_90_3.png,3,2,0
turk4,euc,271,euc_line24_1_90_3.png,3,3,8
turk4,euc,271,euc_line24_1_90_3.png,3,4,1
turk4,euc,271,euc_line24_1_90_3.png,3,5,0
turk4,euc,271,euc_line24_1_90_3.png,3,6,0
turk4,euc,271,euc_line24_1_90_3.png,3,7,0
turk4,euc,271,euc_line24_1_90_3.png,3,8,0
turk4,euc,271,euc_line24_1_90_3.png,3,9,0
turk4,euc,271,euc_line24_1_90_3.png,3,10,0
turk4,euc,271,euc_line24_1_90_3.png,3,11,0
turk4,euc,271,euc_line24_1_90_3.png,3,12,0
turk4,euc,271,euc_line24_1_90_3.png,3,13,0
turk4,euc,271,euc_line24_1_90_3.png,3,14,0
turk4,euc,271,euc_line24_1_90_3.png,3,15,0
turk4,euc,271,euc_line24_1_90_3.png,3,16,0
turk4,euc,271,euc_line24_1_90_3.png,3,17,0
turk4,euc,271,euc_line24_1_90_3.png,3,18,0
turk4,euc,271,euc_line24_1_90_3.png,3,19,0
turk4,euc,271,euc_line24_1_90_3.png,3,20,0
turk4,euc,272,euc_line24_2_0_3.png,3,1,0
turk4,euc,272,euc_line24_2_0_3.png,3,2,0
turk4,euc,272,euc_line24_2_0_3.png,3,3,10
turk4,euc,272,euc_line24_2_0_3.png,3,4,0
turk4,euc,272,euc_line24_2_0_3.png,3,5,0
turk4,euc,272,euc_line24_2_0_3.png,3,6,1
turk4,euc,272,euc_line24_2_0_3.png,3,7,0
turk4,euc,272,euc_line24_2_0_3.png,3,8,0
turk4,euc,272,euc_line24_2_0_3.png,3,9,0
turk4,euc,272,euc_line24_2_0_3.png,3,10,0
turk4,euc,272,euc_line24_2_0_3.png,3,11,0
turk4,euc,272,euc_line24_2_0_3.png,3,12,0
turk4,euc,272,euc_line24_2_0_3.png,3,13,0
turk4,euc,272,euc_line24_2_0_3.png,3,14,0
turk4,euc,272,euc_line24_2_0_3.png,3,15,0
turk4,euc,272,euc_line24_2_0_3.png,3,16,0
turk4,euc,272,euc_line24_2_0_3.png,3,17,0
turk4,euc,272,euc_line24_2_0_3.png,3,18,0
turk4,euc,272,euc_line24_2_0_3.png,3,19,0
turk4,euc,272,euc_line24_2_0_3.png,3,20,0
turk4,euc,273,euc_line24_2_180_2.png,2,1,0
turk4,euc,273,euc_line24_2_180_2.png,2,2,4
turk4,euc,273,euc_line24_2_180_2.png,2,3,0
turk4,euc,273,euc_line24_2_180_2.png,2,4,0
turk4,euc,273,euc_line24_2_180_2.png,2,5,0
turk4,euc,273,euc_line24_2_180_2.png,2,6,0
turk4,euc,273,euc_line24_2_180_2.png,2,7,0
turk4,euc,273,euc_line24_2_180_2.png,2,8,1
turk4,euc,273,euc_line24_2_180_2.png,2,9,0
turk4,euc,273,euc_line24_2_180_2.png,2,10,0
turk4,euc,273,euc_line24_2_180_2.png,2,11,0
turk4,euc,273,euc_line24_2_180_2.png,2,12,0
turk4,euc,273,euc_line24_2_180_2.png,2,13,0
turk4,euc,273,euc_line24_2_180_2.png,2,14,0
turk4,euc,273,euc_line24_2_180_2.png,2,15,0
turk4,euc,273,euc_line24_2_180_2.png,2,16,0
turk4,euc,273,euc_line24_2_180_2.png,2,17,0
turk4,euc,273,euc_line24_2_180_2.png,2,18,0
turk4,euc,273,euc_line24_2_180_2.png,2,19,0
turk4,euc,273,euc_line24_2_180_2.png,2,20,0
turk4,euc,274,euc_line24_2_270_3.png,3,1,0
turk4,euc,274,euc_line24_2_270_3.png,3,2,0
turk4,euc,274,euc_line24_2_270_3.png,3,3,8
turk4,euc,274,euc_line24_2_270_3.png,3,4,0
turk4,euc,274,euc_line24_2_270_3.png,3,5,0
turk4,euc,274,euc_line24_2_270_3.png,3,6,0
turk4,euc,274,euc_line24_2_270_3.png,3,7,0
turk4,euc,274,euc_line24_2_270_3.png,3,8,0
turk4,euc,274,euc_line24_2_270_3.png,3,9,0
turk4,euc,274,euc_line24_2_270_3.png,3,10,0
turk4,euc,274,euc_line24_2_270_3.png,3,11,0
turk4,euc,274,euc_line24_2_270_3.png,3,12,0
turk4,euc,274,euc_line24_2_270_3.png,3,13,0
turk4,euc,274,euc_line24_2_270_3.png,3,14,0
turk4,euc,274,euc_line24_2_270_3.png,3,15,0
turk4,euc,274,euc_line24_2_270_3.png,3,16,0
turk4,euc,274,euc_line24_2_270_3.png,3,17,0
turk4,euc,274,euc_line24_2_270_3.png,3,18,0
turk4,euc,274,euc_line24_2_270_3.png,3,19,0
turk4,euc,274,euc_line24_2_270_3.png,3,20,0
turk4,euc,275,euc_line24_2_90_7.png,7,1,0
turk4,euc,275,euc_line24_2_90_7.png,7,2,0
turk4,euc,275,euc_line24_2_90_7.png,7,3,0
turk4,euc,275,euc_line24_2_90_7.png,7,4,0
turk4,euc,275,euc_line24_2_90_7.png,7,5,0
turk4,euc,275,euc_line24_2_90_7.png,7,6,0
turk4,euc,275,euc_line24_2_90_7.png,7,7,2
turk4,euc,275,euc_line24_2_90_7.png,7,8,0
