"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
383,"20","turk10-Control-Outer-Multiple-rep1","20-5",NA,"4","images/filebab64320e6cb-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
384,"20","turk10-Control-Outer-Single-rep1","20-5",NA,"4","images/filebab64320e6cb-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
385,"30","turk10-Standard-Inner-Multiple-rep1","30-5",NA,"14","images/filebab64fca06db-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
386,"30","turk10-Standard-Inner-Single-rep1","30-5",NA,"14","images/filebab64fca06db-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
387,"30","turk10-Standard-Outer-Multiple-rep1","30-5",NA,"15","images/filebab658883cc9-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
388,"30","turk10-Standard-Outer-Single-rep1","30-5",NA,"15","images/filebab658883cc9-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
389,"30","turk10-Rotated-Inner-Multiple-rep1","30-5",NA,"14","images/filebab625103bdb-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
390,"30","turk10-Rotated-Inner-Single-rep1","30-5",NA,"14","images/filebab625103bdb-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
391,"30","turk10-Rotated-Outer-Single-rep1","30-5",NA,"15","images/filebab64cc9b9df-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
392,"30","turk10-Rotated-Outer-Multiple-rep1","30-5",NA,"15","images/filebab64cc9b9df-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
393,"30","turk10-Control-Inner-Single-rep1","30-5",NA,"14","images/filebab6584edd87-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
394,"30","turk10-Control-Inner-Multiple-rep1","30-5",NA,"14","images/filebab6584edd87-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
395,"30","turk10-Control-Outer-Multiple-rep1","30-5",NA,"15","images/filebab621b1f75c-multiple.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
396,"30","turk10-Control-Outer-Single-rep1","30-5",NA,"15","images/filebab621b1f75c-single.svg","turk10",33,"data-2-1-6-30-5-14-15.csv"
397,"50","turk10-Standard-Inner-Multiple-rep1","50-5",NA,"7","images/filebab6e465071-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
398,"50","turk10-Standard-Inner-Single-rep1","50-5",NA,"7","images/filebab6e465071-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
399,"50","turk10-Standard-Outer-Multiple-rep1","50-5",NA,"5","images/filebab62a4b3209-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
400,"50","turk10-Standard-Outer-Single-rep1","50-5",NA,"5","images/filebab62a4b3209-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
401,"50","turk10-Rotated-Inner-Multiple-rep1","50-5",NA,"7","images/filebab62ae6ca4c-multiple.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
402,"50","turk10-Rotated-Inner-Single-rep1","50-5",NA,"7","images/filebab62ae6ca4c-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
403,"50","turk10-Rotated-Outer-Single-rep1","50-5",NA,"5","images/filebab615eb5995-single.svg","turk10",34,"data-2-1-7-50-5-7-5.csv"
